https://www.zomato.com/bangalore/fabelle-chocolate-boutique-itc-gardenia-richmond-road-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0MzEwNDEiLDUwMzA2LDE4MzUzMTIxLCIxODQzMDc4NSIsMTgzMjMxMjYsIjE4NzM5NjMyIiwiMTg1Mzc4MTYiLCIxODc4MjI5OSIsNTMyMTEsNTA3MjIsIjE4MzE3MzIwIiw1ODg4MiwiMTg0OTQwNjQiLDU2NjE4LCI1NDA5NyJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,Fabelle Chocolate Boutique...
https://www.zomato.com/bangalore/maziga-whitefield-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1MDMwNiwxODM1MzEyMSwiMTg0MzA3ODUiLCIxODMyMzEyNiIsMTg3Mzk2MzIsIjE4NTM3ODE2IiwiMTg3ODIyOTkiLDUzMjExLDUwNzIyLCIxODMxNzMyMCIsNTg4ODIsIjE4NDk0MDY0Iiw1NjYxOCwiNTQwOTciLCIxODY2OTI3MSJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,Maziga
https://www.zomato.com/bangalore/oki-1-kammanahalli?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODM1MzEyMSwiMTg0MzA3ODUiLCIxODMyMzEyNiIsIjE4NzM5NjMyIiwxODUzNzgxNiwiMTg3ODIyOTkiLDUzMjExLDUwNzIyLCIxODMxNzMyMCIsNTg4ODIsIjE4NDk0MDY0Iiw1NjYxOCwiNTQwOTciLCIxODY2OTI3MSIsIjU2NTQyIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,OKI
https://www.zomato.com/bangalore/bitebox-marathahalli-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0MzA3ODUiLCIxODMyMzEyNiIsIjE4NzM5NjMyIiwiMTg1Mzc4MTYiLDE4NzgyMjk5LDUzMjExLDUwNzIyLCIxODMxNzMyMCIsNTg4ODIsIjE4NDk0MDY0Iiw1NjYxOCwiNTQwOTciLCIxODY2OTI3MSIsIjU2NTQyIiwxODYxMjM0OF0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=,BITEBOX
https://www.zomato.com/bangalore/restaurants/chianti?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,Chianti
https://www.zomato.com/bangalore/restaurants/natural-ice-cream?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,Natural Ice Cream
https://www.zomato.com/bangalore/here-now-hsr?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1Mzc4MTYiLCIxODc4MjI5OSIsNTMyMTEsNTA3MjIsMTgzMTczMjAsNTg4ODIsIjE4NDk0MDY0Iiw1NjYxOCwiNTQwOTciLCIxODY2OTI3MSIsIjU2NTQyIiwxODYxMjM0OCw1MDA2NiwiMTgyODc0MzMiLCIxODYwODk5MiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,Here &amp; Now
https://www.zomato.com/bangalore/restaurants/byg-brewski-brewing-company?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,Byg Brewski Brewing Company
https://www.zomato.com/bangalore/misu-st-marks-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1MzIxMSw1MDcyMiwiMTgzMTczMjAiLDU4ODgyLDE4NDk0MDY0LDU2NjE4LCI1NDA5NyIsIjE4NjY5MjcxIiwiNTY1NDIiLDE4NjEyMzQ4LDUwMDY2LCIxODI4NzQzMyIsIjE4NjA4OTkyIiwiMTg1ODEwODkiLCIxODUyNjI3OSJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19,MISU
https://www.zomato.com/bangalore/restaurants/abs-absolute-barbecues?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14,AB's - Absolute Barbecues
